#{"t_start": 1748359218.2340503, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-124.291134,108,0.064793
-164.421702,79,0.362259
-239.60484,130,0.905222
-467.884196,111,1.324158
-1238.721204,126,1.797445
-2333.691413,216,2.706213
-2042.195241,146,3.375367
-889.182343,105,3.841156
-445.132613,114,4.305378
-907.944873,116,4.756812
-610.236504,100,5.171595
-681.353604,98,5.615877
-692.983979,77,5.994778
-748.91951,82,6.305303
-536.690989,106,6.719459
-669.881067,124,7.193276
-835.910069,194,7.95189
19.1826,120,8.506543
-116.821542,1000,12.361041
-328.552481,541,14.592203
-256.123642,180,15.46688
-224.619276,139,16.164488
-386.425341,105,16.617277
-228.441615,156,17.215264
-509.826682,240,18.095566
-601.331223,238,18.968885
-393.207245,331,21.709327
-446.981173,246,22.685597
-427.861762,382,24.291556
-292.924439,229,25.219547
-384.291142,124,25.827342
-67.604474,125,26.399925
27.301147,1000,30.381527
-93.290359,1000,34.069006
33.261598,1000,38.366771
28.807633,1000,42.16925
12.47287,1000,45.954936
18.051243,1000,49.959534
-10.516248,1000,55.232049
-2.522258,1000,59.429942
-17.342687,1000,63.203002
11.545629,1000,66.984313
-85.662561,581,69.329063
-196.557101,747,72.078536
-198.542377,216,72.958946
-310.127757,662,75.453818
-124.788123,732,78.332126
-26.528872,243,79.30441
-158.813309,233,80.232111
3.80763,1000,84.223129
9.456359,1000,89.414521
-47.094171,1000,93.567055
17.722441,1000,97.647605
19.856649,1000,101.114822
-258.807365,541,102.94844
-155.774155,280,103.909528
-405.981132,649,106.451106
-271.524306,396,108.053559
-267.607211,172,108.719285
-145.754699,345,110.030616
-117.378726,237,110.940262
-311.244206,163,111.663267
-368.104896,324,112.960502
-318.211521,187,113.659527
-231.712072,168,114.496738
-95.248614,295,115.691215
-232.31123,798,118.78121
-149.820332,172,119.537433
-197.411376,709,124.079497
-139.754834,471,126.056353
-163.696563,161,126.732921
-101.387624,223,127.676848
-131.822428,323,128.949587
-164.705751,127,129.530539
-186.423867,420,131.389888
-182.536636,184,132.161603
-185.386718,424,133.779801
-186.774973,195,134.510432
-165.121033,688,137.253609
-146.808499,162,137.836337
-140.972257,197,138.621894
-196.453723,400,140.261882
-124.800931,468,142.079554
-95.204009,273,143.110406
-152.951373,275,144.126714
-161.220895,435,145.785582
-104.063306,144,146.362512
-96.350757,132,146.89347
-131.619235,195,147.707027
-190.573638,347,149.333802
-125.736098,374,150.764681
-148.325507,132,151.248232
-207.259903,350,152.56267
-164.725719,149,153.141733
-90.699912,275,154.216282
-108.691574,248,156.797578
-106.299503,266,157.870644
-130.464763,297,159.135536
-245.612609,267,160.343265
-422.472399,410,161.904415
-103.39223,265,162.952121
-376.281212,538,164.983047
-250.433832,233,165.790392
-350.011096,182,166.543791
-362.824049,211,167.376418
-143.178936,546,169.529545
-355.623324,525,171.455323
-386.659417,408,173.066711
-393.641781,285,174.264402
-330.375993,126,174.730773
-415.036656,265,175.689255
-429.849596,401,177.289922
-421.254108,369,178.65604
-351.056299,174,179.2689
-317.02414,185,179.973933
-291.017678,500,181.899951
-248.349688,466,183.713595
-333.107126,252,184.710117
-297.033492,467,186.38691
-272.919471,328,187.753164
-275.422488,225,190.387689
-153.857732,312,191.54425
-285.020048,505,193.679747
-148.560085,290,194.876753
-163.909798,360,196.555792
-172.78188,511,198.671694
-112.989254,262,199.631831
-290.161734,613,201.839824
-172.827121,588,204.208477
-173.486043,502,206.185986
-178.633559,421,207.878196
-120.869329,396,209.454287
-150.147442,506,211.33442
-81.032546,260,212.47094
-135.974894,702,215.274784
-80.362756,250,216.393616
-119.509423,444,218.149421
-122.528773,383,219.745018
-90.46433,377,221.214466
-128.944118,356,224.496372
-145.321104,365,226.117185
-138.040249,370,227.730331
-135.229581,400,229.427962
-75.823606,459,231.276072
-142.9693,779,234.229597
158.160061,801,237.430497
-142.645964,1000,241.21406
-173.910018,829,244.531047
-138.807511,498,246.644853
-174.384613,292,247.792606
-135.812964,295,249.078655
-189.444616,505,251.168164
-168.791597,1000,255.343685
-199.471234,678,260.099586
-272.513305,871,263.900837
-176.973457,1000,267.905224
-178.089031,424,269.590511
-228.023365,589,272.115051
-163.771377,372,273.652603
-211.447674,421,275.273837
-231.887051,696,277.992043
-145.200367,448,279.910639
-170.26635,399,281.6883
-194.093901,447,283.634256
-218.096032,477,285.565
-214.954033,403,287.253641
-203.519552,272,288.442118
-178.955761,229,289.30965
-244.748259,396,292.542962
-227.634779,337,294.052917
-217.199,343,295.497822
-150.710968,191,296.312019
-161.839854,199,297.231724
-158.017998,237,298.313708
-231.810133,641,301.038914
-232.83839,655,303.588959
-176.007835,263,304.564662
-151.003834,233,305.501621
-160.635485,271,306.598147
-133.16308,209,307.371961
-184.780542,311,308.615328
-158.051698,258,309.585303
-190.209455,267,310.720406
24.554239,71,310.980526
-198.894411,579,313.367687
-260.273598,862,316.727963
-203.024983,482,318.726906
-126.281322,281,319.869461
-152.626165,288,321.059058
-162.169762,260,322.101824
-289.530348,846,327.380502
-189.668128,1000,332.022384
-149.882833,1000,336.244769
-224.932602,1000,340.100869
-130.923736,1000,344.050361
-150.054997,290,345.190498
-334.525114,849,348.645658
-234.800001,505,350.642769
-265.304842,726,353.410885
-113.892698,1000,357.25406
-130.624056,213,358.072754
-232.39707,443,361.497524
-149.792998,252,362.556292
-201.757706,446,364.529563
-210.670368,313,365.879591
-171.350603,195,366.652121
-149.166983,290,367.824528
-9.099048,93,368.166354
-318.924157,508,369.984457
-219.842058,241,371.006676
-215.646136,337,372.472337
-228.551287,484,374.391211
-141.651039,129,374.967372
-260.070287,510,377.088542
-315.111146,798,380.144292
-193.224171,409,381.937654
-149.545565,473,383.891797
-178.849692,407,385.564263
-135.011878,333,386.828961
-190.110891,1000,391.368132
-180.589938,1000,397.373749
-310.243994,641,399.946679
-116.293384,1000,404.239495
-154.046056,1000,408.526932
-129.065071,1000,412.558562
-263.13472,529,414.874753
-246.932993,548,416.881573
-132.896248,1000,420.986116
